item_id,movie_title_raw,release_date,video_release_date,imdb_url,unknown,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,movie_title,release_year,rating_count,average_rating,rating_std,first_rated_time,last_rated_time,genre_count,decade_group,genre_list,genre_string,popularity_group,bayesian_average_rating,is_cold_start_item,is_popular_item,is_long_tail_item
12,"Usual Suspects, The (1995)",1995-08-14,,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Usual Suspects, The",1995.0,267,4.3858,0.8255,1997-09-20 17:44:51,1998-04-22 02:36:12,2,1990年代,"['crime', 'thriller']","crime, thriller",热门,4.3262,0,1,0
13,Mighty Aphrodite (1995),1995-10-30,,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mighty Aphrodite,1995.0,184,3.4185,1.0317,1997-09-20 19:41:37,1998-04-22 16:57:00,1,1990年代,['comedy'],comedy,热门,3.4294,0,1,0
14,"Postino, Il (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Postino, Il",1994.0,183,3.9672,0.9995,1997-09-20 18:46:13,1998-04-22 16:53:14,2,1990年代,"['drama', 'romance']","drama, romance",热门,3.9241,0,1,0
15,Mr. Holland's Opus (1995),1996-01-29,,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mr. Holland's Opus,1995.0,293,3.7782,0.9803,1997-09-20 19:17:32,1998-04-22 16:58:55,1,1990年代,['drama'],drama,热门,3.7623,0,1,0
16,French Twist (Gazon maudit) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,French Twist (Gazon maudit),1995.0,39,3.2051,1.0306,1997-09-26 15:58:53,1998-04-22 16:58:55,2,1990年代,"['comedy', 'romance']","comedy, romance",中等,3.3152,0,0,0
17,From Dusk Till Dawn (1996),1996-02-05,,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,From Dusk Till Dawn,1996.0,92,3.1196,1.1752,1997-09-20 21:44:54,1998-04-17 03:49:02,5,1990年代,"['action', 'comedy', 'crime', 'horror', 'thriller']","action, comedy, crime, horror, thriller",热门,3.1929,0,1,0
18,"White Balloon, The (1995)",1995-01-01,,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"White Balloon, The",1995.0,10,2.8,1.3166,1997-10-26 15:12:19,1998-03-31 22:34:47,1,1990年代,['drama'],drama,冷门,3.2866,0,0,1
19,Antonia's Line (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Antonia%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antonia's Line,1995.0,69,3.9565,1.0632,1997-09-20 18:43:24,1998-04-04 12:24:17,1,1990年代,['drama'],drama,热门,3.8606,0,1,0
20,Angels and Insects (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Angels and Insects,1995.0,72,3.4167,1.2305,1997-09-22 18:59:23,1998-04-22 17:01:06,2,1990年代,"['drama', 'romance']","drama, romance",热门,3.4413,0,1,0
21,Muppet Treasure Island (1996),1996-02-16,,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Muppet Treasure Island,1996.0,84,2.7619,1.0485,1997-09-20 20:26:35,1998-04-22 17:03:39,5,1990年代,"['action', 'adventure', 'comedy', 'musical', 'thriller']","action, adventure, comedy, musical, thriller",热门,2.9096,0,1,0
22,Braveheart (1995),1996-02-16,,http://us.imdb.com/M/title-exact?Braveheart%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Braveheart,1995.0,297,4.1515,0.9624,1997-09-20 18:01:19,1998-04-22 23:09:10,3,1990年代,"['action', 'drama', 'war']","action, drama, war",热门,4.1123,0,1,0
23,Taxi Driver (1976),1996-02-16,,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Taxi Driver,1976.0,182,4.1209,0.8518,1997-09-20 19:01:40,1998-04-16 01:33:02,2,1970年代,"['drama', 'thriller']","drama, thriller",热门,4.0624,0,1,0
24,Rumble in the Bronx (1995),1996-02-23,,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rumble in the Bronx,1995.0,174,3.4483,1.0001,1997-09-20 21:52:46,1998-04-22 16:57:28,3,1990年代,"['action', 'adventure', 'crime']","action, adventure, crime",热门,3.4567,0,1,0
25,"Birdcage, The (1996)",1996-03-08,,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birdcage, The",1996.0,293,3.4437,1.0342,1997-09-20 20:18:06,1998-04-18 14:52:46,1,1990年代,['comedy'],comedy,热门,3.4492,0,1,0
26,"Brothers McMullen, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brothers McMullen, The",1995.0,73,3.4521,0.8982,1997-09-22 19:37:33,1998-04-20 04:40:08,1,1990年代,['comedy'],comedy,热门,3.4688,0,1,0
27,Bad Boys (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bad Boys,1995.0,57,3.1053,1.0968,1997-09-20 20:30:07,1998-03-31 22:02:25,1,1990年代,['action'],action,热门,3.2156,0,1,0
28,Apollo 13 (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Apollo 13,1995.0,276,3.9312,0.8083,1997-09-20 19:00:22,1998-04-22 17:31:38,3,1990年代,"['action', 'drama', 'thriller']","action, drama, thriller",热门,3.9041,0,1,0
29,Batman Forever (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Batman Forever,1995.0,114,2.6667,1.0276,1997-09-20 22:59:33,1998-04-20 05:04:32,4,1990年代,"['action', 'adventure', 'comedy', 'crime']","action, adventure, comedy, crime",热门,2.7955,0,1,0
30,Belle de jour (1967),1967-01-01,,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Belle de jour,1967.0,37,3.9459,0.8481,1997-09-21 07:34:43,1998-04-22 17:30:05,1,1960年代,['drama'],drama,中等,3.7999,0,0,0
31,Crimson Tide (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Crimson Tide,1995.0,154,3.6299,0.8853,1997-09-20 18:56:19,1998-04-22 17:27:07,3,1990年代,"['drama', 'thriller', 'war']","drama, thriller, war",热门,3.6184,0,1,0
32,Crumb (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Crumb%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Crumb,1994.0,81,3.7901,1.0573,1997-09-20 20:03:29,1998-04-15 19:24:09,1,1990年代,['documentary'],documentary,热门,3.7386,0,1,0
33,Desperado (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Desperado%20(1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Desperado,1995.0,97,3.4536,1.0609,1997-09-20 18:04:56,1998-04-20 05:01:11,3,1990年代,"['action', 'romance', 'thriller']","action, romance, thriller",热门,3.4666,0,1,0
34,"Doom Generation, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Doom Generation, The",1995.0,7,2.7143,1.3801,1997-09-28 01:28:44,1998-04-17 01:58:56,2,1990年代,"['comedy', 'drama']","comedy, drama",冷门,3.3184,0,0,1
35,Free Willy 2: The Adventure Home (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Free Willy 2: The Adventure Home,1995.0,11,2.1818,1.328,1997-10-17 23:41:25,1998-04-13 02:16:41,3,1990年代,"['adventure', 'children', 'drama']","adventure, children, drama",中等,3.0515,0,0,0
36,Mad Love (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Mad Love,1995.0,13,2.1538,0.8987,1997-09-24 03:53:00,1998-04-20 04:52:47,2,1990年代,"['drama', 'romance']","drama, romance",中等,2.9878,0,0,0
37,Nadja (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Nadja%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Nadja,1994.0,8,2.25,1.0351,1997-10-10 20:06:42,1998-04-02 06:28:30,1,1990年代,['drama'],drama,冷门,3.1642,0,0,1
38,"Net, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Net, The",1995.0,120,3.0083,1.0166,1997-09-20 04:42:33,1998-04-20 05:01:45,2,1990年代,"['sci_fi', 'thriller']","sci_fi, thriller",热门,3.0828,0,1,0
39,Strange Days (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Strange Days,1995.0,87,3.2644,1.0282,1997-09-20 21:29:55,1998-04-20 05:02:42,3,1990年代,"['action', 'crime', 'sci_fi']","action, crime, sci_fi",热门,3.314,0,1,0
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,57,2.8947,1.113,1997-09-20 21:44:31,1998-04-17 03:50:56,1,1990年代,['comedy'],comedy,热门,3.0597,0,1,0
41,Billy Madison (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Billy Madison,1995.0,37,3.0811,1.1396,1997-09-20 21:51:17,1998-04-17 18:41:50,1,1990年代,['comedy'],comedy,中等,3.2386,0,0,0
42,Clerks (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Clerks%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Clerks,1994.0,148,3.8041,1.1167,1997-09-20 04:32:15,1998-04-17 03:20:12,1,1990年代,['comedy'],comedy,热门,3.7715,0,1,0
43,Disclosure (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Disclosure%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Disclosure,1994.0,40,3.0,0.8771,1997-09-20 21:36:23,1998-04-21 19:54:46,2,1990年代,"['drama', 'thriller']","drama, thriller",中等,3.1766,0,0,0
44,Dolores Claiborne (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Dolores Claiborne,1994.0,79,3.3418,1.0113,1997-09-20 22:47:17,1998-04-22 17:32:56,2,1990年代,"['drama', 'thriller']","drama, thriller",热门,3.3798,0,1,0
45,Eat Drink Man Woman (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Eat Drink Man Woman,1994.0,80,4.05,0.8845,1997-09-25 00:36:40,1998-04-22 17:20:57,2,1990年代,"['comedy', 'drama']","comedy, drama",热门,3.946,0,1,0
46,Exotica (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Exotica%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Exotica,1994.0,27,3.5556,0.9337,1997-09-20 21:32:25,1998-04-08 16:55:08,1,1990年代,['drama'],drama,中等,3.5446,0,0,0
47,Ed Wood (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Ed Wood,1994.0,133,3.6015,1.0727,1997-09-20 17:48:55,1998-04-11 22:42:23,2,1990年代,"['comedy', 'drama']","comedy, drama",热门,3.5921,0,1,0
48,Hoop Dreams (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hoop Dreams,1994.0,117,4.094,0.9736,1997-09-21 18:53:47,1998-04-16 14:51:17,1,1990年代,['documentary'],documentary,热门,4.0116,0,1,0
49,I.Q. (1994),1994-01-01,,http://us.imdb.com/M/title-exact?I.Q.%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,I.Q.,1994.0,81,3.321,0.892,1997-09-22 19:34:32,1998-04-21 07:04:43,2,1990年代,"['comedy', 'romance']","comedy, romance",热门,3.3624,0,1,0
50,Star Wars (1977),1977-01-01,,http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Star Wars,1977.0,583,4.3585,0.8813,1997-09-20 04:29:10,1998-04-22 16:53:14,5,1970年代,"['action', 'adventure', 'romance', 'sci_fi', 'war']","action, adventure, romance, sci_fi, war",热门,4.331,0,1,0
51,Legends of the Fall (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,Legends of the Fall,1994.0,81,3.4568,1.1624,1997-09-20 21:30:25,1998-04-22 02:41:35,4,1990年代,"['drama', 'romance', 'war', 'western']","drama, romance, war, western",热门,3.4713,0,1,0
52,"Madness of King George, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Madness of King George, The",1994.0,91,3.7692,0.9077,1997-09-21 15:02:41,1998-04-11 22:35:41,1,1990年代,['drama'],drama,热门,3.7261,0,1,0
53,Natural Born Killers (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Natural Born Killers,1994.0,128,2.9531,1.3272,1997-09-20 17:57:54,1998-04-20 05:05:13,2,1990年代,"['action', 'thriller']","action, thriller",热门,3.031,0,1,0
54,Outbreak (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Outbreak%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Outbreak,1995.0,104,3.2404,0.8302,1997-09-20 21:30:25,1998-04-22 02:42:09,3,1990年代,"['action', 'drama', 'thriller']","action, drama, thriller",热门,3.2871,0,1,0
55,"Professional, The (1994)",1994-01-01,,http://us.imdb.com/Title?L%E9on+(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,"Professional, The",1994.0,149,3.7047,1.0168,1997-09-20 17:49:25,1998-04-17 01:49:13,4,1990年代,"['crime', 'drama', 'romance', 'thriller']","crime, drama, romance, thriller",热门,3.684,0,1,0
56,Pulp Fiction (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Pulp Fiction,1994.0,394,4.0609,1.1509,1997-09-20 17:45:28,1998-04-22 23:06:04,2,1990年代,"['crime', 'drama']","crime, drama",热门,4.0352,0,1,0
57,Priest (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Priest%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Priest,1994.0,40,4.0,1.1547,1997-09-20 20:32:06,1998-04-06 23:15:52,1,1990年代,['drama'],drama,中等,3.8433,0,0,0
58,Quiz Show (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Quiz Show,1994.0,175,3.6457,0.8375,1997-09-20 21:32:49,1998-04-22 02:42:09,1,1990年代,['drama'],drama,热门,3.6338,0,1,0
59,Three Colors: Red (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: Red,1994.0,83,4.0602,1.0163,1997-09-20 04:40:20,1998-04-22 17:13:11,1,1990年代,['drama'],drama,热门,3.9572,0,1,0
60,Three Colors: Blue (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: Blue,1993.0,64,4.0156,1.0615,1997-09-20 04:42:00,1998-04-22 17:22:53,1,1990年代,['drama'],drama,热门,3.8999,0,1,0
61,Three Colors: White (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: White,1994.0,59,3.8644,0.973,1997-09-20 04:33:51,1998-04-22 17:23:46,1,1990年代,['drama'],drama,热门,3.7797,0,1,0
62,Stargate (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Stargate%20(1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stargate,1994.0,127,3.1417,1.0136,1997-09-20 18:03:32,1998-04-22 23:03:28,3,1990年代,"['action', 'adventure', 'sci_fi']","action, adventure, sci_fi",热门,3.1945,0,1,0
63,"Santa Clause, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Santa Clause, The",1994.0,82,3.0976,0.9508,1997-09-20 21:49:28,1998-04-22 04:19:24,2,1990年代,"['children', 'comedy']","children, comedy",热门,3.1824,0,1,0
64,"Shawshank Redemption, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Shawshank Redemption, The",1994.0,283,4.4452,0.767,1997-09-20 17:48:21,1998-04-22 02:42:09,1,1990年代,['drama'],drama,热门,4.3848,0,1,0
65,What's Eating Gilbert Grape (1993),1993-01-01,,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,What's Eating Gilbert Grape,1993.0,115,3.5391,0.9578,1997-09-20 20:31:07,1998-04-22 02:42:10,2,1990年代,"['comedy', 'drama']","comedy, drama",热门,3.5377,0,1,0
66,While You Were Sleeping (1995),1995-01-01,,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,While You Were Sleeping,1995.0,162,3.5494,0.9329,1997-09-20 04:30:16,1998-04-22 02:43:39,2,1990年代,"['comedy', 'romance']","comedy, romance",热门,3.5473,0,1,0
67,Ace Ventura: Pet Detective (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ace Ventura: Pet Detective,1994.0,103,3.0485,1.2157,1997-09-20 21:46:33,1998-04-19 13:48:26,1,1990年代,['comedy'],comedy,热门,3.1268,0,1,0
68,"Crow, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Crow, The",1994.0,134,3.4179,1.1125,1997-09-20 18:01:19,1998-04-18 14:48:33,3,1990年代,"['action', 'romance', 'thriller']","action, romance, thriller",热门,3.4324,0,1,0
69,Forrest Gump (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Forrest Gump,1994.0,321,3.8536,1.0755,1997-09-20 04:34:45,1998-04-17 20:14:39,3,1990年代,"['comedy', 'romance', 'war']","comedy, romance, war",热门,3.8346,0,1,0
70,Four Weddings and a Funeral (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Four Weddings and a Funeral,1994.0,251,3.6614,0.8904,1997-09-20 17:54:25,1998-04-22 02:43:39,2,1990年代,"['comedy', 'romance']","comedy, romance",热门,3.6517,0,1,0
71,"Lion King, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Lion King, The",1994.0,220,3.7818,0.9781,1997-09-20 04:37:41,1998-04-22 04:19:24,3,1990年代,"['animation', 'children', 'musical']","animation, children, musical",热门,3.7608,0,1,0
72,"Mask, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"Mask, The",1994.0,129,3.1938,0.9849,1997-09-20 04:37:41,1998-04-17 18:38:42,3,1990年代,"['comedy', 'crime', 'fantasy']","comedy, crime, fantasy",热门,3.2389,0,1,0
73,Maverick (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Maverick%20(1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Maverick,1994.0,128,3.4688,0.8505,1997-09-20 04:38:13,1998-04-19 13:24:57,3,1990年代,"['action', 'comedy', 'western']","action, comedy, western",热门,3.4771,0,1,0
