电影编号,电影名称原始,上映日期,视频上映日期,链接,未知,动作,冒险,动画,儿童,喜剧,犯罪,纪录片,剧情,奇幻,黑色电影,恐怖,音乐,悬疑,爱情,科幻,惊悚,战争,西部,电影名称,上映年份,被评分次数,平均评分,评分标准差,类型数量
11,Seven (Se7en) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Se7en%20(1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Seven (Se7en),1995.0,236,3.847457627118644,1.0689196665400291,2
12,"Usual Suspects, The (1995)",1995-08-14,,"http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"Usual Suspects, The",1995.0,267,4.385767790262173,0.8255003440679946,2
13,Mighty Aphrodite (1995),1995-10-30,,http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mighty Aphrodite,1995.0,184,3.4184782608695654,1.0316763744514708,1
14,"Postino, Il (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Postino, Il",1994.0,183,3.9672131147540983,0.9994594107182201,2
15,Mr. Holland's Opus (1995),1996-01-29,,http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mr. Holland's Opus,1995.0,293,3.7781569965870307,0.9802505354520151,1
16,French Twist (Gazon maudit) (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,French Twist (Gazon maudit),1995.0,39,3.2051282051282053,1.030571818266242,2
17,From Dusk Till Dawn (1996),1996-02-05,,http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,From Dusk Till Dawn,1996.0,92,3.119565217391304,1.1752240030047094,5
18,"White Balloon, The (1995)",1995-01-01,,http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"White Balloon, The",1995.0,10,2.8,1.3165611772087666,1
19,Antonia's Line (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Antonia%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Antonia's Line,1995.0,69,3.9565217391304346,1.06321906614239,1
20,Angels and Insects (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Angels and Insects,1995.0,72,3.4166666666666665,1.2304814127170929,2
21,Muppet Treasure Island (1996),1996-02-16,,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Muppet Treasure Island,1996.0,84,2.761904761904762,1.0484532223686105,5
22,Braveheart (1995),1996-02-16,,http://us.imdb.com/M/title-exact?Braveheart%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Braveheart,1995.0,297,4.151515151515151,0.9624395702016442,3
23,Taxi Driver (1976),1996-02-16,,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Taxi Driver,1976.0,182,4.1208791208791204,0.8518444704769149,2
24,Rumble in the Bronx (1995),1996-02-23,,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rumble in the Bronx,1995.0,174,3.4482758620689653,1.0000996561864055,3
25,"Birdcage, The (1996)",1996-03-08,,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birdcage, The",1996.0,293,3.4436860068259385,1.0342107359122334,1
26,"Brothers McMullen, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brothers McMullen, The",1995.0,73,3.452054794520548,0.8981631856555751,1
27,Bad Boys (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bad Boys,1995.0,57,3.1052631578947367,1.0968169942141641,1
28,Apollo 13 (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Apollo 13,1995.0,276,3.931159420289855,0.8083474252741203,3
29,Batman Forever (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Batman Forever,1995.0,114,2.6666666666666665,1.0276415706072415,4
30,Belle de jour (1967),1967-01-01,,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Belle de jour,1967.0,37,3.945945945945946,0.8480679331393324,1
31,Crimson Tide (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Crimson Tide,1995.0,154,3.6298701298701297,0.8852553909502717,3
32,Crumb (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Crumb%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Crumb,1994.0,81,3.7901234567901234,1.0573084860001367,1
33,Desperado (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Desperado%20(1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Desperado,1995.0,97,3.4536082474226806,1.0608626458051038,3
34,"Doom Generation, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Doom Generation, The",1995.0,7,2.7142857142857144,1.3801311186847083,2
35,Free Willy 2: The Adventure Home (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Free Willy 2: The Adventure Home,1995.0,11,2.1818181818181817,1.3280197150781927,3
36,Mad Love (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Mad Love,1995.0,13,2.1538461538461537,0.898717034272917,2
37,Nadja (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Nadja%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Nadja,1994.0,8,2.25,1.0350983390135313,1
38,"Net, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Net, The",1995.0,120,3.0083333333333333,1.0166333741162281,2
39,Strange Days (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Strange Days,1995.0,87,3.264367816091954,1.0282042385447814,3
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,57,2.8947368421052633,1.1129787978714052,1
41,Billy Madison (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Billy Madison,1995.0,37,3.081081081081081,1.1396485417876856,1
42,Clerks (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Clerks%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Clerks,1994.0,148,3.804054054054054,1.1167176378890806,1
43,Disclosure (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Disclosure%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Disclosure,1994.0,40,3.0,0.8770580193070292,2
44,Dolores Claiborne (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Dolores Claiborne,1994.0,79,3.3417721518987342,1.0112961466047508,2
45,Eat Drink Man Woman (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Eat Drink Man Woman,1994.0,80,4.05,0.8844650818504132,2
46,Exotica (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Exotica%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Exotica,1994.0,27,3.5555555555555554,0.9336995618478525,1
47,Ed Wood (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Ed Wood,1994.0,133,3.601503759398496,1.0726620074295206,2
48,Hoop Dreams (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hoop Dreams,1994.0,117,4.094017094017094,0.9736432291328843,1
49,I.Q. (1994),1994-01-01,,http://us.imdb.com/M/title-exact?I.Q.%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,I.Q.,1994.0,81,3.3209876543209877,0.8920084149522801,2
50,Star Wars (1977),1977-01-01,,http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Star Wars,1977.0,583,4.3584905660377355,0.8813410116763765,5
51,Legends of the Fall (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,Legends of the Fall,1994.0,81,3.45679012345679,1.1624261558917344,4
52,"Madness of King George, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Madness of King George, The",1994.0,91,3.769230769230769,0.9077067940318742,1
53,Natural Born Killers (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Natural Born Killers,1994.0,128,2.953125,1.3272396018164618,2
54,Outbreak (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Outbreak%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Outbreak,1995.0,104,3.2403846153846154,0.8301969857213536,3
55,"Professional, The (1994)",1994-01-01,,http://us.imdb.com/Title?L%E9on+(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,"Professional, The",1994.0,149,3.704697986577181,1.01677388398039,4
56,Pulp Fiction (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Pulp Fiction,1994.0,394,4.060913705583756,1.150879817295221,2
57,Priest (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Priest%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Priest,1994.0,40,4.0,1.1547005383792512,1
58,Quiz Show (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Quiz Show,1994.0,175,3.645714285714286,0.8374643094618012,1
59,Three Colors: Red (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: Red,1994.0,83,4.0602409638554215,1.0163228504517052,1
60,Three Colors: Blue (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: Blue,1993.0,64,4.015625,1.0614782669047496,1
61,Three Colors: White (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: White,1994.0,59,3.864406779661017,0.9730440525634519,1
62,Stargate (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Stargate%20(1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stargate,1994.0,127,3.141732283464567,1.013593399027776,3
63,"Santa Clause, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Santa Clause, The",1994.0,82,3.097560975609756,0.9507600091513663,2
64,"Shawshank Redemption, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Shawshank Redemption, The",1994.0,283,4.445229681978798,0.7670082342819283,1
65,What's Eating Gilbert Grape (1993),1993-01-01,,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,What's Eating Gilbert Grape,1993.0,115,3.5391304347826087,0.9577656428882682,2
66,While You Were Sleeping (1995),1995-01-01,,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,While You Were Sleeping,1995.0,162,3.549382716049383,0.9328542264996001,2
67,Ace Ventura: Pet Detective (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ace Ventura: Pet Detective,1994.0,103,3.0485436893203883,1.2157354005905237,1
68,"Crow, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Crow, The",1994.0,134,3.417910447761194,1.1124619277945107,3
69,Forrest Gump (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Forrest Gump,1994.0,321,3.853582554517134,1.0754626621574104,3
70,Four Weddings and a Funeral (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Four Weddings and a Funeral,1994.0,251,3.6613545816733066,0.8904271771284412,2
71,"Lion King, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Lion King, The",1994.0,220,3.7818181818181817,0.9781337012737348,3
72,"Mask, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"Mask, The",1994.0,129,3.193798449612403,0.9848661027317762,3
73,Maverick (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Maverick%20(1994),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Maverick,1994.0,128,3.46875,0.8505440593234388,3
74,Faster Pussycat! Kill! Kill! (1965),1965-01-01,,http://us.imdb.com/M/title-exact?Faster%20Pussycat!%20Kill!%20Kill!%20(1965),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Faster Pussycat! Kill! Kill!,1965.0,7,3.0,1.4142135623730951,3
75,Brother Minister: The Assassination of Malcolm X (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Brother%20Minister:%20The%20Assassination%20of%20Malcolm%20X%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Brother Minister: The Assassination of Malcolm X,1994.0,5,3.0,1.4142135623730951,1
76,Carlito's Way (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Carlito's%20Way%20(1993),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Carlito's Way,1993.0,54,3.4074074074074074,0.8582236705098153,2
77,"Firm, The (1993)",1993-01-01,,"http://us.imdb.com/M/title-exact?Firm,%20The%20(1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Firm, The",1993.0,151,3.2781456953642385,0.9533026130063214,2
78,Free Willy (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Free%20Willy%20(1993),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Free Willy,1993.0,33,2.4545454545454546,1.1205720941473682,3
79,"Fugitive, The (1993)",1993-01-01,,"http://us.imdb.com/M/title-exact?Fugitive,%20The%20(1993)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Fugitive, The",1993.0,336,4.044642857142857,0.8035933425109569,2
80,Hot Shots! Part Deux (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Hot%20Shots!%20Part%20Deux%20(1993),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Hot Shots! Part Deux,1993.0,68,2.764705882352941,0.9942768625326982,3
81,"Hudsucker Proxy, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Hudsucker%20Proxy,%20The%20(1994)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Hudsucker Proxy, The",1994.0,110,3.5545454545454547,1.121813437173573,2
82,Jurassic Park (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Jurassic%20Park%20(1993),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Jurassic Park,1993.0,261,3.7203065134099615,1.0125792950505677,3
83,Much Ado About Nothing (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Much%20Ado%20About%20Nothing%20(1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Much Ado About Nothing,1993.0,176,4.0625,0.8695236791321033,2
84,Robert A. Heinlein's The Puppet Masters (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20(1994),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Robert A. Heinlein's The Puppet Masters,1994.0,18,3.0,1.0289915108550531,2
85,"Ref, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Ref,%20The%20(1994)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ref, The",1994.0,58,3.0344827586206895,1.0590548126460442,1
86,"Remains of the Day, The (1993)",1993-01-01,,"http://us.imdb.com/M/title-exact?Remains%20of%20the%20Day,%20The%20(1993)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Remains of the Day, The",1993.0,150,3.94,0.9846472471612774,1
87,Searching for Bobby Fischer (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Searching%20for%20Bobby%20Fischer%20(1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Searching for Bobby Fischer,1993.0,138,3.9057971014492754,0.9505102829258302,1
88,Sleepless in Seattle (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Sleepless%20in%20Seattle%20(1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Sleepless in Seattle,1993.0,213,3.539906103286385,1.011515764625157,2
89,Blade Runner (1982),1982-01-01,,http://us.imdb.com/M/title-exact?Blade%20Runner%20(1982),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Blade Runner,1982.0,275,4.138181818181818,0.9056777333039172,2
90,So I Married an Axe Murderer (1993),1993-01-01,,http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20(1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,So I Married an Axe Murderer,1993.0,95,3.0526315789473686,1.0951383965064871,3
91,"Nightmare Before Christmas, The (1993)",1993-01-01,,"http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas,%20The%20(1993)",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Nightmare Before Christmas, The",1993.0,143,3.5874125874125875,1.0898292367121343,3
92,True Romance (1993),1993-01-01,,http://us.imdb.com/M/title-exact?True%20Romance%20(1993),0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,True Romance,1993.0,104,3.6153846153846154,0.9883564105747087,3
93,Welcome to the Dollhouse (1995),1996-05-24,,http://us.imdb.com/Title?Welcome+to+the+Dollhouse+(1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Welcome to the Dollhouse,1995.0,112,3.7232142857142856,1.0671999350710726,2
94,Home Alone (1990),1990-01-01,,http://us.imdb.com/M/title-exact?Home%20Alone%20(1990),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Home Alone,1990.0,137,3.0875912408759123,1.0394742205638536,2
95,Aladdin (1992),1992-01-01,,http://us.imdb.com/M/title-exact?Aladdin%20(1992),0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Aladdin,1992.0,219,3.8127853881278537,0.9120100819126311,4
96,Terminator 2: Judgment Day (1991),1991-01-01,,http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Terminator 2: Judgment Day,1991.0,295,4.0067796610169495,0.9758764431207366,3
97,Dances with Wolves (1990),1990-01-01,,http://us.imdb.com/M/title-exact?Dances%20with%20Wolves%20(1990),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Dances with Wolves,1990.0,256,3.79296875,1.0441758993692245,3
98,"Silence of the Lambs, The (1991)",1991-01-01,,"http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs,%20The%20(1991)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Silence of the Lambs, The",1991.0,390,4.28974358974359,0.8365969971421026,2
99,Snow White and the Seven Dwarfs (1937),1937-01-01,,http://us.imdb.com/M/title-exact?Snow%20White%20and%20the%20Seven%20Dwarfs%20(1937),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Snow White and the Seven Dwarfs,1937.0,172,3.7093023255813953,0.8965988896287173,3
100,Fargo (1996),1997-02-14,,http://us.imdb.com/M/title-exact?Fargo%20(1996),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,Fargo,1996.0,508,4.155511811023622,0.975755982575976,3
101,Heavy Metal (1981),1981-03-08,,http://us.imdb.com/M/title-exact?Heavy%20Metal%20(1981),0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Heavy Metal,1981.0,73,3.26027397260274,1.1905577271490353,5
102,"Aristocats, The (1970)",1970-01-01,,"http://us.imdb.com/M/title-exact?Aristocats,%20The%20(1970)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Aristocats, The",1970.0,54,3.1296296296296298,1.09967913495721,2
103,All Dogs Go to Heaven 2 (1996),1996-03-29,,http://us.imdb.com/M/title-exact?All%20Dogs%20Go%20to%20Heaven%202%20(1996),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,All Dogs Go to Heaven 2,1996.0,15,1.8666666666666667,0.9154754164341269,3
104,Theodore Rex (1995),1996-03-29,,http://us.imdb.com/M/title-exact?Theodore%20Rex%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Theodore Rex,1995.0,5,1.4,0.8944271909999159,1
105,Sgt. Bilko (1996),1996-03-29,,http://us.imdb.com/M/title-exact?Sgt.%20Bilko%20(1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sgt. Bilko,1996.0,74,2.5675675675675675,0.9662961496336108,1
