item_id,movie_title_raw,release_date,video_release_date,imdb_url,unknown,action,adventure,animation,children,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,movie_title,release_year,rating_count,average_rating,rating_std,first_rated_time,last_rated_time,genre_count,decade_group,genre_list,genre_string,popularity_group,bayesian_average_rating
22,Braveheart (1995),1996-02-16,,http://us.imdb.com/M/title-exact?Braveheart%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Braveheart,1995.0,297,4.151515151515151,0.9624395702016448,1997-09-20 18:01:19,1998-04-22 23:09:10,3,1990s,"['action', 'drama', 'war']","action, drama, war",Popular,4.112294006309148
23,Taxi Driver (1976),1996-02-16,,http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Taxi Driver,1976.0,182,4.1208791208791204,0.8518444704769152,1997-09-20 19:01:40,1998-04-16 01:33:02,2,1970s,"['drama', 'thriller']","drama, thriller",Popular,4.0623623762376235
24,Rumble in the Bronx (1995),1996-02-23,,http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rumble in the Bronx,1995.0,174,3.4482758620689653,1.0000996561864055,1997-09-20 21:52:46,1998-04-22 16:57:28,3,1990s,"['action', 'adventure', 'crime']","action, adventure, crime",Popular,3.4566865979381443
25,"Birdcage, The (1996)",1996-03-08,,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Birdcage, The",1996.0,293,3.4436860068259385,1.0342107359122332,1997-09-20 20:18:06,1998-04-18 14:52:46,1,1990s,['comedy'],comedy,Popular,3.44919233226837
26,"Brothers McMullen, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brothers McMullen, The",1995.0,73,3.452054794520548,0.898163185655575,1997-09-22 19:37:33,1998-04-20 04:40:08,1,1990s,['comedy'],comedy,Popular,3.4687870967741934
27,Bad Boys (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bad Boys,1995.0,57,3.1052631578947367,1.0968169942141635,1997-09-20 20:30:07,1998-03-31 22:02:25,1,1990s,['action'],action,Popular,3.215548051948052
28,Apollo 13 (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Apollo%2013%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Apollo 13,1995.0,276,3.931159420289855,0.8083474252741202,1997-09-20 19:00:22,1998-04-22 17:31:38,3,1990s,"['action', 'drama', 'thriller']","action, drama, thriller",Popular,3.9040445945945943
29,Batman Forever (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Batman%20Forever%20(1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Batman Forever,1995.0,114,2.6666666666666665,1.0276415706072415,1997-09-20 22:59:33,1998-04-20 05:04:32,4,1990s,"['action', 'adventure', 'comedy', 'crime']","action, adventure, comedy, crime",Popular,2.7955014925373134
30,Belle de jour (1967),1967-01-01,,http://us.imdb.com/M/title-exact?Belle%20de%20jour%20(1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Belle de jour,1967.0,37,3.945945945945946,0.8480679331393324,1997-09-21 07:34:43,1998-04-22 17:30:05,1,1960s,['drama'],drama,Medium,3.799950877192982
31,Crimson Tide (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Crimson%20Tide%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,Crimson Tide,1995.0,154,3.6298701298701297,0.8852553909502721,1997-09-20 18:56:19,1998-04-22 17:27:07,3,1990s,"['drama', 'thriller', 'war']","drama, thriller, war",Popular,3.618374712643678
32,Crumb (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Crumb%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Crumb,1994.0,81,3.7901234567901234,1.0573084860001365,1997-09-20 20:03:29,1998-04-15 19:24:09,1,1990s,['documentary'],documentary,Popular,3.7385861386138615
33,Desperado (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Desperado%20(1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Desperado,1995.0,97,3.4536082474226806,1.0608626458051038,1997-09-20 18:04:56,1998-04-20 05:01:11,3,1990s,"['action', 'romance', 'thriller']","action, romance, thriller",Popular,3.4666427350427353
34,"Doom Generation, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Doom%20Generation,%20The%20(1995)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Doom Generation, The",1995.0,7,2.7142857142857144,1.3801311186847085,1997-09-28 01:28:44,1998-04-17 01:58:56,2,1990s,"['comedy', 'drama']","comedy, drama",Cold,3.318414814814815
35,Free Willy 2: The Adventure Home (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Free%20Willy%202:%20The%20Adventure%20Home%20(1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Free Willy 2: The Adventure Home,1995.0,11,2.1818181818181817,1.3280197150781927,1997-10-17 23:41:25,1998-04-13 02:16:41,3,1990s,"['adventure', 'children', 'drama']","adventure, children, drama",Medium,3.0515225806451616
36,Mad Love (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Mad Love,1995.0,13,2.1538461538461537,0.8987170342729172,1997-09-24 03:53:00,1998-04-20 04:52:47,2,1990s,"['drama', 'romance']","drama, romance",Medium,2.9877939393939394
37,Nadja (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Nadja%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Nadja,1994.0,8,2.25,1.0350983390135313,1997-10-10 20:06:42,1998-04-02 06:28:30,1,1990s,['drama'],drama,Cold,3.1641857142857144
38,"Net, The (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?Net,%20The%20(1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Net, The",1995.0,120,3.0083333333333333,1.0166333741162283,1997-09-20 04:42:33,1998-04-20 05:01:45,2,1990s,"['sci_fi', 'thriller']","sci_fi, thriller",Popular,3.0828371428571426
39,Strange Days (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Strange%20Days%20(1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Strange Days,1995.0,87,3.264367816091954,1.0282042385447816,1997-09-20 21:29:55,1998-04-20 05:02:42,3,1990s,"['action', 'crime', 'sci_fi']","action, crime, sci_fi",Popular,3.313992523364486
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995-01-01,,"http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,57,2.8947368421052633,1.112978797871405,1997-09-20 21:44:31,1998-04-17 03:50:56,1,1990s,['comedy'],comedy,Popular,3.059703896103896
41,Billy Madison (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Billy Madison,1995.0,37,3.081081081081081,1.1396485417876858,1997-09-20 21:51:17,1998-04-17 18:41:50,1,1990s,['comedy'],comedy,Medium,3.2385473684210524
42,Clerks (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Clerks%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Clerks,1994.0,148,3.804054054054054,1.116717637889081,1997-09-20 04:32:15,1998-04-17 03:20:12,1,1990s,['comedy'],comedy,Popular,3.7714119047619046
43,Disclosure (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Disclosure%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Disclosure,1994.0,40,3.0,0.8770580193070292,1997-09-20 21:36:23,1998-04-21 19:54:46,2,1990s,"['drama', 'thriller']","drama, thriller",Medium,3.1766199999999998
44,Dolores Claiborne (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Dolores Claiborne,1994.0,79,3.3417721518987342,1.0112961466047508,1997-09-20 22:47:17,1998-04-22 17:32:56,2,1990s,"['drama', 'thriller']","drama, thriller",Popular,3.3797696969696975
45,Eat Drink Man Woman (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Eat Drink Man Woman,1994.0,80,4.05,0.8844650818504132,1997-09-25 00:36:40,1998-04-22 17:20:57,2,1990s,"['comedy', 'drama']","comedy, drama",Popular,3.9459720000000003
46,Exotica (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Exotica%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Exotica,1994.0,27,3.5555555555555554,0.9336995618478525,1997-09-20 21:32:25,1998-04-08 16:55:08,1,1990s,['drama'],drama,Medium,3.5446212765957448
47,Ed Wood (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Ed Wood,1994.0,133,3.601503759398496,1.072662007429521,1997-09-20 17:48:55,1998-04-11 22:42:23,2,1990s,"['comedy', 'drama']","comedy, drama",Popular,3.5921385620915034
48,Hoop Dreams (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Hoop Dreams,1994.0,117,4.094017094017094,0.9736432291328841,1997-09-21 18:53:47,1998-04-16 14:51:17,1,1990s,['documentary'],documentary,Popular,4.011658394160583
49,I.Q. (1994),1994-01-01,,http://us.imdb.com/M/title-exact?I.Q.%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,I.Q.,1994.0,81,3.3209876543209877,0.8920084149522801,1997-09-22 19:34:32,1998-04-21 07:04:43,2,1990s,"['comedy', 'romance']","comedy, romance",Popular,3.3623485148514853
50,Star Wars (1977),1977-01-01,,http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Star Wars,1977.0,583,4.3584905660377355,0.8813410116763758,1997-09-20 04:29:10,1998-04-22 16:53:14,5,1970s,"['action', 'adventure', 'romance', 'sci_fi', 'war']","action, adventure, romance, sci_fi, war",Popular,4.331006965174129
51,Legends of the Fall (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,Legends of the Fall,1994.0,81,3.45679012345679,1.1624261558917344,1997-09-20 21:30:25,1998-04-22 02:41:35,4,1990s,"['drama', 'romance', 'war', 'western']","drama, romance, war, western",Popular,3.471259405940594
52,"Madness of King George, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Madness of King George, The",1994.0,91,3.769230769230769,0.9077067940318745,1997-09-21 15:02:41,1998-04-11 22:35:41,1,1990s,['drama'],drama,Popular,3.7261009009009007
53,Natural Born Killers (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Natural Born Killers,1994.0,128,2.953125,1.327239601816462,1997-09-20 17:57:54,1998-04-20 05:05:13,2,1990s,"['action', 'thriller']","action, thriller",Popular,3.0310621621621627
54,Outbreak (1995),1995-01-01,,http://us.imdb.com/M/title-exact?Outbreak%20(1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Outbreak,1995.0,104,3.2403846153846154,0.8301969857213537,1997-09-20 21:30:25,1998-04-22 02:42:09,3,1990s,"['action', 'drama', 'thriller']","action, drama, thriller",Popular,3.287074193548387
55,"Professional, The (1994)",1994-01-01,,http://us.imdb.com/Title?L%E9on+(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,"Professional, The",1994.0,149,3.704697986577181,1.0167738839803901,1997-09-20 17:49:25,1998-04-17 01:49:13,4,1990s,"['crime', 'drama', 'romance', 'thriller']","crime, drama, romance, thriller",Popular,3.6840071005917157
56,Pulp Fiction (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Pulp Fiction,1994.0,394,4.060913705583756,1.1508798172952206,1997-09-20 17:45:28,1998-04-22 23:06:04,2,1990s,"['crime', 'drama']","crime, drama",Popular,4.035258937198067
57,Priest (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Priest%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Priest,1994.0,40,4.0,1.1547005383792515,1997-09-20 20:32:06,1998-04-06 23:15:52,1,1990s,['drama'],drama,Medium,3.8432866666666667
58,Quiz Show (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Quiz Show,1994.0,175,3.645714285714286,0.8374643094618013,1997-09-20 21:32:49,1998-04-22 02:42:09,1,1990s,['drama'],drama,Popular,3.6338317948717953
59,Three Colors: Red (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: Red,1994.0,83,4.0602409638554215,1.0163228504517052,1997-09-20 04:40:20,1998-04-22 17:13:11,1,1990s,['drama'],drama,Popular,3.9572543689320385
60,Three Colors: Blue (1993),1993-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: Blue,1993.0,64,4.015625,1.0614782669047498,1997-09-20 04:42:00,1998-04-22 17:22:53,1,1990s,['drama'],drama,Popular,3.8999666666666664
61,Three Colors: White (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Three Colors: White,1994.0,59,3.864406779661017,0.9730440525634518,1997-09-20 04:33:51,1998-04-22 17:23:46,1,1990s,['drama'],drama,Popular,3.7797113924050634
62,Stargate (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Stargate%20(1994),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stargate,1994.0,127,3.141732283464567,1.013593399027776,1997-09-20 18:03:32,1998-04-22 23:03:28,3,1990s,"['action', 'adventure', 'sci_fi']","action, adventure, sci_fi",Popular,3.194538775510204
63,"Santa Clause, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Santa Clause, The",1994.0,82,3.097560975609756,0.950760009151366,1997-09-20 21:49:28,1998-04-22 04:19:24,2,1990s,"['children', 'comedy']","children, comedy",Popular,3.1823254901960785
64,"Shawshank Redemption, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Shawshank Redemption, The",1994.0,283,4.445229681978798,0.7670082342819287,1997-09-20 17:48:21,1998-04-22 02:42:09,1,1990s,['drama'],drama,Popular,4.384809240924092
65,What's Eating Gilbert Grape (1993),1993-01-01,,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,What's Eating Gilbert Grape,1993.0,115,3.5391304347826087,0.9577656428882682,1997-09-20 20:31:07,1998-04-22 02:42:10,2,1990s,"['comedy', 'drama']","comedy, drama",Popular,3.5377570370370375
66,While You Were Sleeping (1995),1995-01-01,,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,While You Were Sleeping,1995.0,162,3.549382716049383,0.9328542264996,1997-09-20 04:30:16,1998-04-22 02:43:39,2,1990s,"['comedy', 'romance']","comedy, romance",Popular,3.547237362637363
67,Ace Ventura: Pet Detective (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ace Ventura: Pet Detective,1994.0,103,3.0485436893203883,1.2157354005905234,1997-09-20 21:46:33,1998-04-19 13:48:26,1,1990s,['comedy'],comedy,Popular,3.1268065040650406
68,"Crow, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"Crow, The",1994.0,134,3.417910447761194,1.1124619277945107,1997-09-20 18:01:19,1998-04-18 14:48:33,3,1990s,"['action', 'romance', 'thriller']","action, romance, thriller",Popular,3.4324493506493505
69,Forrest Gump (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Forrest Gump,1994.0,321,3.853582554517134,1.0754626621574106,1997-09-20 04:34:45,1998-04-17 20:14:39,3,1990s,"['comedy', 'romance', 'war']","comedy, romance, war",Popular,3.834595894428152
70,Four Weddings and a Funeral (1994),1994-01-01,,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Four Weddings and a Funeral,1994.0,251,3.6613545816733066,0.8904271771284411,1997-09-20 17:54:25,1998-04-22 02:43:39,2,1990s,"['comedy', 'romance']","comedy, romance",Popular,3.651650184501845
71,"Lion King, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Lion King, The",1994.0,220,3.7818181818181817,0.9781337012737346,1997-09-20 04:37:41,1998-04-22 04:19:24,3,1990s,"['animation', 'children', 'musical']","animation, children, musical",Popular,3.7608216666666663
72,"Mask, The (1994)",1994-01-01,,"http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"Mask, The",1994.0,129,3.193798449612403,0.9848661027317762,1997-09-20 04:37:41,1998-04-17 18:38:42,3,1990s,"['comedy', 'crime', 'fantasy']","comedy, crime, fantasy",Popular,3.2389073825503356
