user_id,age,gender,occupation,zip_code,rating_count,average_rating,rating_std,first_rating_time,last_rating_time,active_span_days,age_group,activity_group
28,32,M,writer,55369,79,3.721518987341772,0.959923993529075,1997-12-12 19:28:35,1997-12-22 21:36:33,10,25-34,Medium Activity
29,41,M,programmer,94043,34,3.6470588235294117,0.8835998319950069,1997-12-22 19:57:43,1997-12-22 20:19:49,0,35-44,Low Activity
30,7,M,student,55436,43,3.7674418604651163,0.9961164901835046,1997-09-23 23:44:40,1998-01-27 23:00:02,125,Under 18,Medium Activity
31,24,M,artist,10003,36,3.9166666666666665,0.9673232581274401,1997-12-08 02:21:59,1997-12-08 02:28:31,0,18-24,Low Activity
32,28,F,student,78741,41,3.317073170731707,0.9066152544007821,1998-01-02 02:56:37,1998-01-02 05:17:30,0,25-34,Low Activity
33,23,M,student,27510,24,3.7083333333333335,0.5500329370901874,1998-04-07 15:34:50,1998-04-07 15:53:24,0,18-24,Low Activity
34,38,F,administrator,42141,20,4.05,1.3945382182304158,1998-02-27 17:47:08,1998-02-27 18:12:03,0,35-44,Low Activity
35,20,F,homemaker,42459,25,3.0,0.9574271077563382,1997-09-28 15:02:21,1997-09-28 15:07:17,0,18-24,Low Activity
36,19,F,student,93117,20,3.8,1.2814465510343749,1997-12-15 03:40:27,1997-12-15 03:46:21,0,18-24,Low Activity
37,23,M,student,55105,57,3.6491228070175437,0.9908731371547205,1997-11-30 18:40:58,1997-11-30 22:47:52,0,18-24,Medium Activity
38,28,F,other,54467,121,3.71900826446281,1.5980359846588135,1998-04-13 00:43:08,1998-04-13 02:33:21,0,25-34,High Activity
39,41,M,entertainment,01040,22,3.772727272727273,0.9223065383316712,1998-04-01 03:08:14,1998-04-01 03:18:24,0,35-44,Low Activity
40,38,M,scientist,27514,35,2.8857142857142857,0.9631879839558708,1998-03-04 19:54:43,1998-03-04 20:06:21,0,35-44,Low Activity
41,33,M,engineer,80525,52,3.769230769230769,0.8072073527955751,1998-03-23 20:37:29,1998-03-23 22:41:00,0,25-34,Medium Activity
42,30,M,administrator,17870,183,3.726775956284153,1.0647674198245463,1997-12-02 23:28:16,1997-12-03 00:59:23,0,25-34,High Activity
43,29,F,librarian,20854,221,3.7104072398190047,1.0168267559342208,1997-10-04 14:23:48,1998-04-12 03:04:57,189,25-34,High Activity
44,26,M,technician,46260,151,3.6490066225165565,1.0013236273166213,1997-10-31 23:33:44,1998-01-01 00:09:32,61,25-34,High Activity
45,29,M,programmer,50233,48,3.6041666666666665,0.9165054661613026,1997-12-01 17:17:09,1997-12-01 22:40:56,0,25-34,Medium Activity
46,27,F,marketing,46538,27,4.111111111111111,0.9336995618478525,1997-12-31 23:34:34,1998-01-01 00:58:04,0,25-34,Low Activity
47,53,M,marketing,07102,25,3.64,0.9073771725877466,1997-11-13 16:36:24,1997-11-13 17:00:29,0,45-54,Low Activity
48,45,M,administrator,12550,66,3.787878787878788,1.045358260489624,1997-11-13 15:14:54,1997-11-13 15:29:14,0,45-54,Medium Activity
49,23,F,student,76111,215,2.683720930232558,1.2539526725254468,1998-02-21 12:50:32,1998-02-21 14:01:00,0,18-24,High Activity
50,21,M,writer,52245,24,3.5416666666666665,1.3824731042801415,1997-10-17 01:27:36,1997-10-17 01:49:18,0,18-24,Low Activity
51,28,M,educator,16509,23,3.5652173913043477,1.1994728750020205,1997-12-30 16:17:03,1997-12-30 16:22:17,0,25-34,Low Activity
52,18,F,student,55105,56,4.267857142857143,0.7259118761585677,1997-12-24 00:07:18,1997-12-24 00:23:51,0,18-24,Medium Activity
53,26,M,programmer,55414,28,3.8214285714285716,0.9048663264720757,1997-11-13 17:33:04,1997-11-13 17:48:49,0,25-34,Low Activity
54,22,M,executive,66315,65,3.6923076923076925,1.1445943184579213,1997-11-30 22:21:59,1998-04-15 23:01:40,136,18-24,Medium Activity
55,37,M,programmer,01331,21,3.2857142857142856,1.4880476182856899,1997-10-30 01:46:45,1997-10-30 01:53:18,0,35-44,Low Activity
56,25,M,librarian,46260,187,3.641711229946524,0.9361171590769886,1998-04-15 21:32:15,1998-04-22 15:12:21,6,25-34,High Activity
57,16,M,none,84010,106,3.5,1.0258562045340236,1998-01-01 23:12:27,1998-01-01 23:50:46,0,Under 18,Medium Activity
58,27,M,programmer,52246,154,3.8376623376623376,1.2338937742055665,1998-01-09 00:04:27,1998-04-19 23:14:21,100,25-34,High Activity
59,49,M,educator,08403,382,3.9345549738219896,1.0615739742214039,1998-02-23 02:55:32,1998-02-23 04:06:49,0,45-54,High Activity
60,50,M,healthcare,06472,208,4.086538461538462,0.6310879636288707,1997-12-28 16:10:21,1998-03-07 16:07:20,68,45-54,High Activity
61,36,M,engineer,30040,21,2.9523809523809526,1.2440333788202982,1998-03-29 21:15:25,1998-04-11 21:47:17,13,35-44,Low Activity
62,27,F,administrator,97214,232,3.3017241379310347,1.1144064682083166,1997-11-12 21:58:29,1997-11-12 23:18:47,0,25-34,High Activity
63,31,M,marketing,75240,93,3.118279569892473,0.9874149645895921,1997-10-01 23:00:09,1997-10-01 23:25:26,0,25-34,Medium Activity
64,32,M,educator,43202,200,3.585,0.9988812837847535,1997-11-12 20:08:33,1998-03-12 22:14:40,120,25-34,High Activity
65,51,F,educator,48118,80,3.9375,0.8907932746871454,1997-11-11 02:42:11,1997-11-11 03:20:49,0,45-54,Medium Activity
66,23,M,student,80521,38,3.473684210526316,1.032887375280686,1997-12-31 20:44:49,1997-12-31 21:04:28,0,18-24,Low Activity
67,17,M,student,60402,30,3.7666666666666666,0.8976341829703129,1997-09-27 16:53:31,1997-09-27 17:03:14,0,Under 18,Low Activity
68,19,M,student,22904,34,3.0294117647058822,1.6046389968340005,1997-10-16 03:48:12,1997-10-16 04:05:55,0,18-24,Low Activity
69,24,M,engineer,55337,65,3.8461538461538463,1.0640542930046093,1997-12-13 15:31:49,1997-12-15 00:26:26,1,18-24,Medium Activity
70,27,M,engineer,60067,131,3.4656488549618323,0.816160899706802,1998-01-06 05:11:09,1998-01-07 05:52:59,1,25-34,High Activity
71,39,M,scientist,98034,38,3.789473684210526,1.0438466993391293,1997-10-20 03:44:40,1998-01-17 06:03:10,89,35-44,Low Activity
72,48,F,administrator,73034,137,3.8175182481751824,1.0517420989383572,1997-11-20 14:19:48,1997-11-20 14:58:01,0,45-54,High Activity
73,24,M,student,41850,66,3.727272727272727,1.1575232783232223,1998-02-28 00:16:16,1998-03-01 23:03:08,1,18-24,Medium Activity
74,39,M,scientist,T8H1N,39,3.641025641025641,0.7066294900210021,1998-02-24 15:13:14,1998-02-24 15:19:02,0,35-44,Low Activity
75,24,M,entertainment,08816,79,3.278481012658228,1.3581351171476754,1998-01-06 01:22:38,1998-01-06 01:59:08,0,18-24,Medium Activity
76,20,M,student,02215,82,3.5609756097560976,1.1232400332241002,1997-09-23 15:06:46,1997-12-20 08:45:36,87,18-24,Medium Activity
77,30,M,technician,29379,72,3.611111111111111,1.2051013113340432,1998-01-13 22:57:58,1998-01-14 04:48:12,0,25-34,Medium Activity
78,26,M,administrator,61801,21,3.380952380952381,1.2835961388299078,1997-11-15 22:37:47,1997-11-15 22:51:04,0,25-34,Low Activity
79,39,F,administrator,03755,55,4.0,1.0363754503432014,1998-03-30 15:18:06,1998-03-30 15:33:36,0,35-44,Medium Activity
80,34,F,administrator,52241,29,3.7586206896551726,1.0231314820474688,1997-12-31 21:50:09,1998-02-13 20:29:23,43,25-34,Low Activity
81,21,M,student,21218,58,3.293103448275862,1.1083197443776658,1997-10-11 01:27:09,1997-10-11 17:55:46,0,18-24,Medium Activity
82,50,M,programmer,22902,168,3.0714285714285716,1.1866090597731298,1997-10-08 11:43:24,1998-01-13 18:05:26,97,45-54,High Activity
83,40,M,other,44133,155,3.4193548387096775,1.1216347516589493,1997-11-23 17:37:28,1998-03-29 14:42:12,125,35-44,High Activity
84,32,M,executive,55369,68,3.8529411764705883,0.7967228751402395,1997-12-30 02:34:31,1997-12-30 03:49:57,0,25-34,Medium Activity
85,51,M,educator,20003,288,3.5381944444444446,0.8127465824940686,1997-11-13 20:17:39,1998-04-20 22:07:41,158,45-54,High Activity
86,26,M,administrator,46005,23,3.5217391304347827,1.1626601636447695,1997-11-15 04:51:26,1997-11-15 05:16:14,0,25-34,Low Activity
87,47,M,administrator,89503,211,3.7914691943127963,0.9279384332762884,1997-11-18 17:50:18,1997-11-18 18:32:31,0,45-54,High Activity
88,49,F,librarian,11701,21,3.9523809523809526,1.1608699529314417,1998-03-27 22:18:31,1998-03-27 22:35:03,0,45-54,Low Activity
89,43,F,administrator,68106,76,4.0394736842105265,1.1482251750556502,1997-11-13 17:10:49,1997-11-13 22:47:26,0,35-44,Medium Activity
90,60,M,educator,78155,300,4.223333333333334,0.9253701540259964,1998-03-31 22:08:41,1998-03-31 23:11:39,0,55+,High Activity
91,55,M,marketing,01913,98,3.8877551020408165,1.0342849819768116,1998-04-01 13:39:38,1998-04-01 14:06:00,0,55+,Medium Activity
92,32,M,entertainment,80525,388,3.2448453608247423,0.9747983170741886,1997-09-30 17:14:02,1998-04-15 15:56:31,196,25-34,High Activity
93,48,M,executive,23112,20,3.35,1.2258187382102494,1998-02-28 22:30:53,1998-02-28 22:47:17,0,45-54,Low Activity
94,26,M,student,71457,400,3.6575,1.0162557203888487,1998-01-27 02:59:53,1998-04-07 05:58:23,70,25-34,High Activity
95,31,M,administrator,10707,278,3.41726618705036,1.1266337872714052,1997-11-10 19:53:10,1998-03-03 20:28:48,113,25-34,High Activity
96,25,F,artist,75206,56,4.267857142857143,0.9437078020152295,1998-01-10 03:26:31,1998-01-10 03:46:57,0,25-34,Medium Activity
97,43,M,artist,98006,63,4.158730158730159,1.138849861332224,1998-01-08 05:50:52,1998-01-08 06:09:51,0,35-44,Medium Activity
98,49,F,executive,90291,27,3.5925925925925926,1.3085299814107096,1997-11-25 22:55:19,1997-11-25 23:05:11,0,45-54,Low Activity
99,20,M,student,63129,136,3.551470588235294,1.0942262812983867,1998-01-24 21:44:07,1998-02-26 05:03:39,32,18-24,High Activity
100,36,M,executive,90254,59,3.0677966101694913,1.048223567553467,1998-03-31 20:02:08,1998-03-31 20:20:30,0,35-44,Medium Activity
101,15,M,student,05146,67,2.8955223880597014,0.8727235036855141,1997-10-18 00:47:57,1997-10-18 01:10:15,0,Under 18,Medium Activity
102,38,M,programmer,30220,216,2.615740740740741,0.7443007690427224,1997-10-03 13:45:37,1998-04-19 13:54:35,198,35-44,High Activity
103,26,M,student,55108,29,3.6206896551724137,0.9416472308615168,1997-11-24 23:56:06,1997-11-25 01:58:38,0,25-34,Low Activity
104,27,M,student,55108,111,2.6666666666666665,1.1547005383792515,1998-02-25 21:24:37,1998-02-26 04:08:06,0,25-34,Medium Activity
105,24,M,engineer,94043,23,3.391304347826087,1.0761518325953916,1998-03-06 19:56:33,1998-03-06 20:02:04,0,18-24,Low Activity
106,61,M,retired,55125,64,3.765625,0.7069313857277693,1997-12-06 23:04:46,1998-02-28 22:47:55,83,55+,Medium Activity
107,39,M,scientist,60466,22,3.0,1.2724180205607036,1998-03-30 13:24:26,1998-03-30 13:30:59,0,35-44,Low Activity
108,44,M,educator,63130,33,3.5757575757575757,0.9692233691951198,1997-11-18 19:01:02,1997-11-18 19:09:50,0,35-44,Low Activity
109,29,M,other,55423,234,3.4401709401709404,1.1378437426427304,1997-11-26 16:48:28,1997-11-26 22:35:53,0,25-34,High Activity
110,19,M,student,77840,133,3.045112781954887,0.8604496855867243,1998-02-09 01:19:05,1998-02-09 02:00:13,0,18-24,High Activity
111,57,M,engineer,90630,24,3.5416666666666665,0.9315329426211431,1998-04-04 08:48:12,1998-04-04 08:57:23,0,55+,Low Activity
112,30,M,salesman,60613,46,3.6956521739130435,1.0722679022083428,1998-01-16 23:14:04,1998-04-13 04:02:52,86,25-34,Medium Activity
113,47,M,executive,95032,51,3.7254901960784315,1.1149606517281052,1997-09-24 04:38:07,1997-10-04 03:40:24,9,45-54,Medium Activity
114,27,M,programmer,75013,48,3.6041666666666665,0.9165054661613022,1997-12-04 17:21:30,1997-12-05 08:15:18,0,25-34,Medium Activity
115,31,M,engineer,17110,92,3.9347826086956523,1.1748682210516528,1997-12-03 17:19:19,1997-12-03 18:05:03,0,25-34,Medium Activity
116,40,M,healthcare,97232,143,3.006993006993007,0.9822115280662544,1997-10-10 02:51:51,1998-04-15 23:44:18,187,35-44,High Activity
117,20,M,student,16125,86,3.9186046511627906,1.031448054396967,1997-11-21 14:57:34,1998-01-28 21:16:27,68,18-24,Medium Activity
118,21,M,administrator,90210,71,4.661971830985915,0.7548635065234545,1997-09-27 18:20:44,1997-09-27 18:37:22,0,18-24,Medium Activity
119,32,M,programmer,67401,181,3.9502762430939224,1.0125668323288464,1997-09-20 16:51:26,1998-04-14 14:46:07,205,25-34,High Activity
120,47,F,other,06260,26,3.576923076923077,0.9868364372306859,1998-03-10 00:29:32,1998-03-10 00:49:39,0,45-54,Low Activity
121,54,M,librarian,99603,74,3.608108108108108,1.3326003785735818,1998-03-31 23:43:30,1998-04-01 00:31:28,0,45-54,Medium Activity
122,32,F,writer,22206,61,3.9836065573770494,0.9745392634246627,1997-11-11 17:39:23,1997-11-11 17:55:23,0,25-34,Medium Activity
123,48,F,artist,20008,54,3.8518518518518516,1.1058576012497219,1997-11-17 23:24:13,1997-11-18 17:26:28,0,45-54,Medium Activity
124,34,M,student,60615,24,3.5,1.0215078369104984,1998-03-19 05:55:33,1998-03-20 13:18:22,1,25-34,Low Activity
125,30,M,lawyer,22202,182,3.4395604395604398,1.2977565955947796,1997-11-13 20:46:42,1998-04-17 18:57:37,154,25-34,High Activity
126,28,F,lawyer,20015,45,3.533333333333333,1.179368089660345,1998-02-19 01:57:49,1998-02-20 01:33:12,0,25-34,Medium Activity
127,33,M,none,73439,23,4.130434782608695,1.5167053955587406,1998-01-09 16:36:43,1998-01-09 16:55:50,0,25-34,Low Activity
128,24,F,marketing,20009,184,3.6630434782608696,1.0165534174642903,1997-11-19 19:04:34,1997-11-19 19:56:30,0,18-24,High Activity
129,36,F,marketing,07039,30,2.6,1.1626367179523596,1997-12-27 17:32:14,1997-12-27 17:57:32,0,35-44,Low Activity
130,20,M,none,60115,353,3.9858356940509916,0.981257858205731,1997-09-22 18:33:59,1998-03-03 22:05:54,162,18-24,High Activity
131,59,F,administrator,15237,30,4.133333333333334,1.0416609195243758,1998-01-01 19:01:02,1998-01-01 19:08:43,0,55+,Low Activity
132,24,M,other,94612,22,3.772727272727273,0.6853444168423418,1998-03-30 17:24:40,1998-03-30 17:29:56,0,18-24,Low Activity
133,53,M,engineer,78602,26,3.1923076923076925,1.096147098494751,1998-03-22 17:42:04,1998-03-22 17:53:08,0,45-54,Low Activity
134,31,M,programmer,80236,25,3.64,1.0754843869934452,1998-04-04 23:22:02,1998-04-04 23:32:36,0,25-34,Low Activity
135,23,M,student,38401,55,3.381818181818182,0.7815205760403309,1997-11-18 12:52:55,1997-11-18 13:00:03,0,18-24,Medium Activity
136,51,M,other,97365,35,4.3428571428571425,0.7252933338781401,1997-12-21 08:33:54,1997-12-23 03:48:45,1,45-54,Low Activity
137,50,M,educator,84408,47,4.319148936170213,1.1054486199045361,1997-12-06 18:21:22,1997-12-22 16:46:50,15,45-54,Medium Activity
138,46,M,doctor,53211,51,4.2745098039215685,0.6656855525711526,1997-11-08 20:58:50,1997-11-08 21:26:22,0,45-54,Medium Activity
139,20,M,student,08904,24,4.0,0.8340576562282991,1997-11-14 20:04:04,1997-11-14 20:16:18,0,18-24,Low Activity
140,30,F,student,32250,21,3.4285714285714284,0.8106434833777776,1997-11-08 18:26:57,1997-11-08 18:30:32,0,25-34,Low Activity
141,49,M,programmer,36117,107,3.4299065420560746,1.3396151906826608,1998-01-12 05:50:47,1998-02-14 02:54:50,32,45-54,Medium Activity
142,13,M,other,48118,33,3.6363636363636362,1.1942095141290592,1998-02-28 04:23:35,1998-02-28 04:34:49,0,Under 18,Low Activity
143,42,M,technician,08832,20,3.9,1.0208355710680808,1998-02-25 11:52:22,1998-02-25 11:55:41,0,35-44,Low Activity
144,53,M,programmer,20910,206,3.674757281553398,0.9505036864071329,1998-02-21 23:22:50,1998-02-22 00:12:02,0,45-54,High Activity
145,31,M,entertainment,V3N4P,316,3.3354430379746836,1.3074184401703264,1997-09-26 10:29:15,1998-04-02 09:40:40,187,25-34,High Activity
146,45,M,artist,83814,29,3.6206896551724137,1.2075297424153715,1998-04-01 19:04:53,1998-04-01 19:16:33,0,45-54,Low Activity
147,40,F,librarian,02143,20,4.2,0.8335087534664908,1998-01-23 22:16:52,1998-01-23 22:23:24,0,35-44,Low Activity
148,33,M,engineer,97006,65,4.0,1.2747548783981963,1997-10-16 15:17:46,1997-10-21 02:15:54,4,25-34,Medium Activity
149,35,F,marketing,17325,36,2.888888888888889,1.1155467020454342,1997-12-30 20:09:17,1997-12-30 20:16:08,0,35-44,Low Activity
150,20,F,artist,02139,32,3.84375,1.0194677612014185,1997-11-05 16:09:34,1997-11-05 16:28:42,0,18-24,Low Activity
151,38,F,administrator,48103,307,3.996742671009772,1.0400426440965038,1997-11-14 16:10:38,1997-12-10 16:26:00,26,35-44,High Activity
152,33,F,educator,68767,106,4.320754716981132,0.99088387490612,1997-09-29 19:44:28,1998-03-19 15:46:25,170,25-34,Medium Activity
153,25,M,student,60641,23,2.9565217391304346,1.4917427535227872,1997-12-06 01:14:19,1997-12-06 01:22:16,0,25-34,Low Activity
154,25,M,student,53703,51,3.9607843137254903,0.8935498713272918,1997-11-10 05:03:55,1997-11-10 05:18:16,0,25-34,Medium Activity
155,32,F,other,11217,22,2.6363636363636362,0.8477114595277798,1997-11-12 21:41:00,1997-11-12 21:47:41,0,25-34,Low Activity
156,25,M,educator,08360,37,3.72972972972973,0.8044545649986377,1998-02-22 22:12:41,1998-02-22 22:21:33,0,25-34,Low Activity
157,57,M,engineer,70808,51,3.784313725490196,1.2379616389888033,1997-09-21 03:41:08,1998-02-07 22:40:43,139,55+,Medium Activity
158,50,M,educator,27606,173,3.8034682080924855,1.0038238491908469,1997-11-21 17:09:53,1997-11-21 17:59:20,0,45-54,High Activity
159,23,F,student,55346,107,3.4299065420560746,1.3396151906826608,1997-11-25 19:13:53,1998-04-22 14:42:19,147,18-24,Medium Activity
160,27,M,programmer,66215,120,3.9166666666666665,1.0090625763118783,1997-10-13 18:23:43,1997-10-28 22:35:15,15,25-34,High Activity
161,50,M,lawyer,55104,58,2.5517241379310347,1.1265910977423892,1998-03-29 11:12:45,1998-03-29 11:53:41,0,45-54,Medium Activity
162,25,M,artist,15610,42,3.5952380952380953,0.7344991261521244,1997-10-23 19:29:15,1997-10-23 20:01:00,0,25-34,Medium Activity
163,49,M,administrator,97212,23,3.3043478260869565,0.8756702684071969,1998-03-30 01:00:43,1998-03-30 01:10:26,0,45-54,Low Activity
164,47,M,healthcare,80123,63,4.126984126984127,0.958696418228747,1998-03-08 23:53:13,1998-03-09 00:15:47,0,45-54,Medium Activity
165,20,F,other,53715,30,4.0,0.8709883407113853,1997-11-14 16:41:12,1997-11-14 16:47:26,0,18-24,Low Activity
166,47,M,educator,55113,20,3.55,1.4317821063276355,1998-02-02 05:31:18,1998-02-02 05:38:25,0,45-54,Low Activity
167,37,M,other,L9G2B,69,3.3768115942028984,1.4562386003124859,1998-04-16 14:45:36,1998-04-16 14:54:13,0,35-44,Medium Activity
168,48,M,other,80127,69,3.3333333333333335,1.4002800840280099,1998-01-08 19:14:22,1998-01-08 19:38:49,0,45-54,Medium Activity
169,52,F,other,53705,37,3.972972972972973,0.9856325235459062,1998-03-30 14:34:51,1998-03-31 15:50:18,1,45-54,Low Activity
170,53,F,healthcare,30067,22,3.772727272727273,0.9223065383316711,1998-01-06 16:22:12,1998-02-16 16:22:50,41,45-54,Low Activity
171,48,F,educator,78750,28,3.4642857142857144,0.7444681351359537,1998-03-27 21:36:46,1998-03-27 21:41:29,0,45-54,Low Activity
172,55,M,marketing,22207,27,3.185185185185185,0.8786806997310072,1997-09-29 12:34:58,1997-09-29 13:14:24,0,55+,Low Activity
173,56,M,other,22306,43,4.209302325581396,0.832613199364728,1997-10-22 21:43:45,1997-10-22 21:56:09,0,55+,Medium Activity
174,30,F,administrator,52302,177,3.5819209039548023,1.5758514056849322,1998-02-02 15:19:09,1998-04-02 21:16:18,59,25-34,High Activity
175,26,F,scientist,21911,38,3.736842105263158,1.1314714296070714,1997-10-17 16:52:18,1997-10-17 17:09:06,0,25-34,Low Activity
176,28,M,scientist,07030,63,3.6984126984126986,1.0416321038812837,1998-01-29 04:09:39,1998-01-29 04:33:11,0,25-34,Medium Activity
177,20,M,programmer,19104,115,3.617391304347826,0.9874884738003954,1997-11-21 16:39:39,1997-12-14 23:55:36,23,18-24,High Activity
178,26,M,other,49512,273,3.681318681318681,0.9457232006953985,1997-12-22 20:41:41,1998-04-10 20:25:28,108,25-34,High Activity
179,15,M,entertainment,20755,42,3.0476190476190474,1.5919367090063592,1998-04-09 19:44:24,1998-04-09 19:52:45,0,Under 18,Medium Activity
180,22,F,administrator,60202,63,3.9365079365079363,1.3059790033511491,1997-10-17 21:58:13,1997-10-22 18:20:44,4,18-24,Medium Activity
181,26,M,executive,21218,435,1.4919540229885058,0.8461376589972875,1997-11-08 03:52:53,1997-11-08 04:30:41,0,25-34,High Activity
182,36,M,programmer,33884,28,3.857142857142857,0.9315175080076958,1997-10-09 22:17:14,1998-01-24 03:41:34,106,35-44,Low Activity
183,33,M,scientist,27708,53,3.188679245283019,1.00108794229818,1998-04-01 20:33:31,1998-04-11 19:37:33,9,25-34,Medium Activity
184,37,M,librarian,76013,251,3.6613545816733066,0.834781742594389,1998-03-14 20:21:22,1998-03-14 22:14:47,0,35-44,High Activity
185,53,F,librarian,97403,48,4.041666666666667,0.713347915274833,1997-12-30 23:17:56,1997-12-30 23:58:08,0,45-54,Medium Activity
186,39,F,executive,00000,92,3.4130434782608696,1.223866813060492,1997-11-08 21:00:58,1998-04-04 19:57:39,146,35-44,Medium Activity
187,26,M,educator,16801,56,4.071428571428571,0.9116846116771038,1997-11-13 23:46:23,1997-11-14 00:07:42,0,25-34,Medium Activity
188,42,M,student,29440,112,3.767857142857143,0.9770533274254812,1997-09-24 03:19:55,1997-09-24 04:30:32,0,35-44,High Activity
189,32,M,artist,95014,187,3.978609625668449,1.072416722341862,1998-04-22 16:52:40,1998-04-22 20:41:42,0,25-34,High Activity
190,30,M,administrator,95938,59,3.3220338983050848,0.9903095643857285,1998-03-27 21:12:33,1998-04-03 17:54:00,6,25-34,Medium Activity
191,33,M,administrator,95161,27,3.6296296296296298,0.791694781327139,1998-04-02 23:37:33,1998-04-03 00:13:37,0,25-34,Low Activity
192,42,M,educator,90840,35,3.5142857142857142,1.0946777277953053,1997-12-06 00:00:36,1997-12-06 00:41:31,0,35-44,Low Activity
193,29,M,student,49931,121,3.165289256198347,1.1131569778338883,1998-03-05 18:35:06,1998-03-25 21:13:48,20,25-34,High Activity
194,38,M,administrator,02154,305,2.963934426229508,1.0237368318806814,1997-11-14 15:11:45,1997-11-15 00:56:50,0,35-44,High Activity
195,42,M,scientist,93555,96,3.2916666666666665,1.0251230135854212,1997-09-21 06:45:13,1998-04-12 06:32:16,202,35-44,Medium Activity
196,49,M,writer,55105,39,3.6153846153846154,1.0160652852881118,1997-12-04 15:55:49,1997-12-04 16:18:25,0,45-54,Low Activity
197,55,M,technician,75094,118,3.3389830508474576,1.2280227940133093,1998-04-01 05:37:50,1998-04-01 05:56:10,0,55+,High Activity
198,21,F,student,55414,181,3.276243093922652,0.9723620876329608,1998-01-07 20:20:27,1998-01-07 21:46:09,0,18-24,High Activity
199,30,M,writer,17604,40,2.95,1.5681117176318653,1998-01-02 23:06:43,1998-01-02 23:17:22,0,25-34,Low Activity
200,40,M,programmer,93402,216,4.032407407407407,0.8593484501810636,1997-10-05 08:54:04,1998-04-06 01:20:27,182,35-44,High Activity
